ndb,energy_kcal,protein_g,fat_g,carbs_g,fiber_g,sugar_g,sodium_mg
18634,307.0,5.88,13.24,41.18,1.2,5.88,1059.0
18635,330.0,4.34,11.27,53.42,1.4,21.34,780.0
18637,377.0,6.1,3.7,79.8,0.0,0.0,2182.0
18639,232.0,8.0,1.8,46.0,0.0,0.0,345.0
18932,273.0,6.58,9.22,41.05,2.2,4.3,621.0
18933,309.0,7.42,9.49,48.39,2.6,4.41,710.0
18934,289.0,6.92,9.4,44.16,2.4,4.5,663.0
18935,298.0,6.71,9.91,45.41,2.4,5.04,682.0
18942,501.0,5.1,24.83,64.3,1.9,18.13,471.0
18943,484.0,6.08,22.42,64.48,2.7,26.31,503.0
18944,290.0,2.17,11.5,44.54,1.6,22.02,200.0
18945,468.0,5.52,28.74,46.79,1.4,0.0,353.0
18951,297.0,5.8,10.1,45.68,1.5,13.1,529.0
18952,474.0,6.15,23.38,64.43,5.8,0.0,657.0
18953,374.0,7.12,17.12,47.84,0.7,24.9,510.0
18954,390.0,7.06,17.45,51.29,1.7,18.1,390.0
18959,379.0,5.48,18.5,47.76,2.2,17.0,231.0
18960,433.0,14.25,13.35,64.35,3.8,2.35,665.0
18961,484.0,7.01,20.37,64.55,2.4,9.37,1148.0
18962,464.0,7.19,19.5,64.88,2.4,10.41,752.0
18967,238.0,10.66,2.15,43.91,9.2,5.0,478.0
18968,250.0,10.2,1.53,48.89,4.1,6.12,439.0
18969,334.0,4.41,18.52,37.43,0.9,22.05,265.0
18970,297.0,8.01,7.58,49.27,2.4,2.66,742.0
19002,410.0,33.2,25.6,11.0,1.8,9.0,1785.0
19003,539.0,6.17,33.36,57.27,4.0,0.27,514.0
19004,523.0,7.0,32.7,56.2,5.2,0.0,763.0
19005,510.0,5.8,26.9,62.9,1.1,0.0,1022.0
19013,359.0,1.0,2.68,82.82,0.0,57.58,199.0
19014,371.0,0.1,3.0,85.8,0.0,49.16,317.0
19015,471.0,10.1,19.8,64.4,5.3,28.57,294.0
19016,495.0,7.7,25.5,62.0,4.8,0.0,256.0
19022,448.0,7.6,17.8,66.4,4.2,0.0,282.0
19024,466.0,5.8,24.9,63.8,3.4,0.0,200.0
19025,473.0,8.72,20.18,67.41,1.9,62.68,174.0
19026,508.0,10.2,31.1,53.4,2.8,23.74,193.0
19027,432.0,9.8,20.0,62.2,4.2,0.0,328.0
19035,583.0,7.29,43.55,45.06,8.1,0.46,909.0
19036,384.0,9.7,3.1,80.1,2.9,0.72,288.0
19038,400.0,6.4,7.8,80.7,3.8,45.36,177.0
19039,431.0,3.8,12.8,79.1,5.2,53.19,206.0
19045,502.0,4.56,26.14,64.76,3.2,0.63,450.0
19046,547.0,6.6,37.0,51.3,1.2,0.0,541.0
19047,384.0,10.04,2.93,80.39,3.4,2.21,1240.0
19048,457.0,7.5,16.7,70.9,2.4,38.8,569.0
19053,392.0,7.6,3.8,81.5,5.4,0.0,227.0
19056,472.0,7.1,20.68,67.78,5.4,0.78,328.0
19057,519.0,7.36,27.42,60.81,5.1,2.59,691.0
19058,501.0,7.19,24.63,62.74,4.0,3.03,519.0
19059,462.0,13.8,29.4,44.9,0.0,0.0,229.0
19065,479.0,4.13,26.93,59.51,5.0,48.34,142.0
19067,338.0,2.97,1.7,79.38,0.1,0.0,261.0
19068,388.0,2.0,7.5,80.89,0.2,48.0,295.0
19069,459.0,5.4,18.9,72.9,2.0,45.9,230.0
19076,387.0,1.59,3.31,87.73,0.1,56.32,44.0
19077,472.0,12.1,47.7,36.2,18.1,0.0,12.0
19078,642.0,14.32,52.31,28.42,16.6,0.91,24.0
19079,522.0,5.87,27.0,63.94,0.0,62.36,88.0
19086,529.0,18.3,29.8,46.88,5.0,38.3,250.0
19087,539.0,5.87,32.09,59.24,0.2,59.0,90.0
19088,180.0,4.78,4.83,29.46,0.3,22.12,74.0
19089,249.0,3.5,16.2,22.29,0.0,20.65,61.0
19094,145.0,4.53,4.03,22.78,0.0,22.78,53.0
19095,207.0,3.5,11.0,23.6,0.7,21.22,80.0
19096,126.0,4.9,2.6,21.8,0.0,18.69,70.0
19097,144.0,1.1,2.0,30.4,1.3,24.32,46.0
19102,387.0,3.78,6.59,77.75,0.7,73.36,118.0
19103,383.0,1.05,5.45,82.15,0.0,79.77,47.0
19104,435.0,3.0,13.69,74.61,0.9,71.0,42.0
19105,512.0,9.7,34.0,53.0,9.7,43.0,36.0
19111,475.0,5.4,21.6,64.8,2.0,54.0,230.0
19112,348.0,2.56,2.32,79.16,0.0,39.64,287.0
19113,291.0,0.0,0.09,72.43,0.0,72.25,287.0
19114,187.0,5.0,7.19,25.7,0.8,24.71,71.0
19119,519.0,7.5,27.5,60.4,2.5,52.5,38.0
19120,535.0,7.65,29.66,59.4,3.4,51.5,79.0
19121,105.0,2.76,1.7,19.74,0.0,0.0,296.0
19122,101.0,2.9,1.73,18.43,0.0,0.0,164.0
28354,257.0,5.65,8.2,40.24,2.9,2.98,544.0
28355,456.0,10.91,15.92,67.18,7.5,0.8,370.0
28356,474.0,2.19,17.89,76.03,2.5,49.0,275.0
28357,487.0,2.19,18.79,77.34,0.0,49.43,189.0
28363,467.0,9.42,18.42,65.81,2.4,1.03,947.0
28364,459.0,11.16,17.29,64.7,3.5,0.83,1187.0
28365,469.0,9.67,18.93,65.11,3.5,0.86,815.0
28366,320.0,3.13,10.7,52.83,3.5,8.36,528.0
28371,298.0,5.4,8.02,51.15,5.5,11.3,515.0
28372,309.0,7.25,9.34,49.09,4.9,9.81,510.0
28373,329.0,11.8,11.6,44.29,11.2,4.2,507.0
28374,215.0,3.31,4.55,40.32,1.5,4.06,331.0
31019,259.0,15.34,1.39,46.24,36.7,0.0,4331.0
31020,31.0,1.86,0.17,5.62,4.5,0.0,526.0
31021,84.0,1.75,0.08,19.16,1.8,0.91,42.0
31022,242.0,3.24,10.3,33.99,3.6,1.16,77.0
31023,182.0,2.16,8.92,35.58,5.7,12.9,146.0
35049,103.0,22.3,1.5,0.0,0.0,0.0,65.0
35050,135.0,5.8,2.4,22.6,0.0,0.0,0.0
35051,155.0,24.38,4.89,3.43,0.0,0.0,70.0
35056,110.0,26.7,0.4,0.0,0.0,0.0,0.0
35057,899.0,0.56,99.6,0.0,0.0,0.0,0.0
35058,67.0,11.7,2.2,0.0,0.0,0.0,0.0
35059,136.0,22.7,5.0,0.0,0.0,0.0,0.0
35066,150.0,23.2,5.9,0.0,0.0,0.0,0.0
35067,430.0,39.9,30.0,0.0,0.0,0.0,693.0
35068,156.0,16.6,8.0,4.3,0.0,0.0,0.0
35069,84.0,20.2,0.4,0.0,0.0,0.0,0.0
35070,56.0,13.0,0.4,0.0,0.0,0.0,0.0
35075,111.0,19.3,3.8,0.0,0.0,0.0,0.0
35078,1.0,0.0,0.0,0.2,0.0,0.0,132.0
35079,251.0,57.0,2.6,0.0,0.0,0.0,0.0
35080,116.0,21.5,2.66,0.0,0.0,0.0,0.0
35085,870.0,0.4,96.5,0.0,0.0,0.0,0.0
35086,465.0,12.6,46.1,0.0,0.0,0.0,0.0
35087,900.0,0.0,100.0,0.0,0.0,0.0,0.0
35088,104.0,11.0,4.4,5.1,0.0,0.0,0.0
35130,54.0,0.66,0.49,11.74,1.1,0.19,8.0
35131,398.0,10.4,5.44,76.93,8.7,1.81,7.0
35132,21.0,0.84,0.2,4.06,0.3,3.36,11.0
35133,44.0,0.81,0.63,8.68,0.0,2.6,15.0
35134,386.0,9.88,5.22,74.93,0.0,5.38,13.0
35139,16.0,0.31,0.15,3.22,1.5,2.02,0.0
35140,195.0,4.29,2.21,39.47,0.0,3.74,126.0
35141,234.0,33.43,11.09,0.08,0.0,0.0,135.0
35142,330.0,6.69,12.22,48.26,0.0,2.03,329.0
35147,153.0,6.28,6.12,18.12,3.1,0.99,427.0
35148,112.0,8.82,3.75,10.8,2.3,0.51,104.0
35149,116.0,20.53,2.92,1.81,0.0,0.0,79.0
35150,140.0,22.56,5.57,0.0,0.0,0.0,58.0
35155,61.0,1.22,0.76,12.31,2.6,6.46,6.0
35156,894.0,0.0,99.32,0.0,0.0,0.0,0.0
35157,161.0,27.31,5.76,0.0,0.0,0.0,390.0
35158,104.0,14.66,2.88,4.89,0.0,0.0,160.0
35160,255.0,52.06,5.23,0.0,0.0,0.0,390.0
35166,206.0,35.19,7.26,0.0,0.0,0.0,600.0
35167,141.0,24.5,4.75,0.0,0.0,0.0,460.0
35168,209.0,23.19,12.95,0.0,0.0,0.0,870.0
35169,115.0,22.25,2.84,0.0,0.0,0.0,52.0
35174,97.0,21.44,1.3,0.0,0.0,0.0,43.0
35175,270.0,62.38,2.31,0.0,0.0,0.0,130.0
35176,146.0,32.51,1.8,0.0,0.0,0.0,41.0
35177,98.0,19.74,2.1,0.0,0.0,0.0,43.0
35183,419.0,14.48,10.64,66.27,20.5,21.32,4.0
35184,386.0,56.19,17.9,0.0,0.0,0.0,420.0
35185,309.0,8.38,10.14,46.01,1.7,1.54,671.0
35186,224.0,7.91,8.31,29.35,1.5,1.79,511.0
36060,229.0,13.19,11.05,19.28,1.8,1.84,646.0
36061,219.0,12.56,10.81,17.92,1.5,2.39,509.0
36401,174.0,12.02,5.06,20.03,1.2,0.55,518.0
36403,335.0,11.31,18.37,31.19,2.0,1.84,440.0
36408,229.0,5.59,9.01,31.49,5.8,1.3,305.0
36409,256.0,11.72,13.25,22.39,2.9,1.2,400.0
36410,232.0,11.51,10.43,23.02,2.6,1.45,426.0
36411,186.0,3.48,7.21,26.68,3.2,7.42,277.0
36417,185.0,3.28,5.29,31.16,1.2,1.3,528.0
36418,156.0,6.91,6.77,16.79,8.0,0.78,376.0
36601,250.0,8.28,11.94,27.29,2.6,0.0,468.0
36602,174.0,4.05,2.96,32.79,1.1,0.56,387.0
36607,255.0,3.26,13.18,30.87,3.5,0.86,43.0
36608,203.0,31.52,8.52,0.0,0.0,0.0,180.0
36609,192.0,6.46,11.51,15.58,0.7,2.83,374.0
36610,282.0,3.41,14.13,35.2,3.5,0.85,44.0
36615,182.0,28.9,7.34,0.14,0.0,0.0,349.0
36617,252.0,11.87,13.55,20.61,1.0,8.18,252.0
36618,295.0,12.9,16.36,23.99,0.9,11.6,435.0
36619,129.0,9.76,6.98,6.87,1.5,3.03,402.0
36625,121.0,4.77,2.35,20.16,1.3,2.63,430.0
36626,95.0,8.18,4.56,5.38,0.9,2.93,413.0
36629,262.0,14.46,12.68,22.46,0.8,13.6,553.0
36630,121.0,5.79,3.59,16.4,1.6,1.82,230.0
42055,218.0,0.45,0.04,87.38,0.1,0.0,404.0
42063,11.0,0.0,0.0,2.1,2.1,0.0,0.0
42074,221.0,6.4,10.1,26.11,0.8,8.52,104.0
42116,160.0,1.5,14.0,7.0,0.0,5.65,833.0
42129,230.0,11.5,19.3,2.6,0.0,0.0,1108.0
42131,167.0,4.3,1.0,37.7,0.0,37.7,97.0
42135,224.0,3.0,13.1,23.6,0.0,23.6,72.0
42136,431.0,1.9,15.7,73.4,0.0,73.4,229.0
42148,529.0,10.16,29.32,56.89,4.0,47.15,213.0
42150,93.0,0.8,1.6,19.5,0.5,12.02,20.0
42151,465.0,0.0,53.0,0.0,0.0,0.0,581.0
42153,86.0,2.1,2.7,13.2,0.0,3.6,939.0
42171,227.0,0.4,13.0,27.0,0.0,25.92,804.0
42173,307.0,22.7,23.0,0.7,0.0,0.0,878.0
42178,322.0,5.95,31.79,3.06,1.1,0.85,773.0
42179,140.0,12.0,9.5,1.6,0.0,0.85,744.0
42189,56.0,4.1,2.0,5.3,0.0,5.3,105.0
42190,407.0,13.7,37.63,2.36,0.0,0.0,689.0
42192,115.0,1.52,1.01,25.6,1.8,7.44,814.0
42193,84.0,0.2,2.7,15.5,1.9,10.3,788.0
42196,443.0,3.2,17.5,71.22,2.9,57.81,168.0
42231,884.0,0.11,99.98,0.0,0.0,0.0,0.0
42235,74.0,12.4,1.0,3.2,0.6,2.6,220.0
43331,326.0,1.8,35.0,2.0,0.2,2.0,905.0
43340,451.0,41.6,29.99,3.7,0.0,0.85,63.0
43344,151.0,0.0,0.1,37.6,1.5,29.41,0.0
43345,227.0,0.25,0.16,91.0,2.2,0.0,14.0
43365,22.0,0.6,0.1,4.59,0.8,3.28,58.0
43366,221.0,27.4,12.41,0.0,0.0,0.0,996.0
43367,200.0,27.9,9.8,0.0,0.0,0.0,996.0
43369,49.0,0.64,0.4,10.68,0.6,8.68,91.0
43378,541.0,37.04,41.78,1.43,0.0,0.0,1030.0
43391,162.0,29.3,5.0,0.0,0.0,0.0,996.0
43392,115.0,2.7,0.2,25.61,1.5,17.16,14.0
43393,339.0,10.93,2.06,80.65,14.7,0.75,0.0
43396,67.0,10.9,1.0,3.0,0.0,3.0,403.0
43406,185.0,23.88,0.9,20.42,6.5,1.6,3380.0
43408,43.0,0.0,0.0,11.86,0.1,7.28,8.0
43410,234.0,21.28,12.77,8.51,4.3,0.0,400.0
43417,69.0,3.5,2.1,8.72,1.8,1.18,26.0
43450,115.0,1.41,1.41,24.11,0.1,20.61,42.0
43476,94.0,3.5,1.8,15.96,0.2,1.24,35.0
43479,134.0,0.5,0.0,5.0,0.0,0.0,2.0
43483,354.0,13.0,3.4,80.0,2.7,0.55,5.0
43495,380.0,10.0,3.0,78.0,8.0,22.0,380.0
43523,75.0,0.8,0.8,16.23,0.4,11.74,16.0
43528,141.0,5.16,4.52,19.88,0.0,8.33,95.0
43529,396.0,6.7,2.4,86.89,3.0,3.22,16.0
43535,47.0,0.2,0.1,11.2,0.3,10.5,4.0
43543,46.0,1.6,2.0,5.3,0.0,5.3,55.0
43544,389.0,6.6,0.9,88.5,2.6,1.35,2.0
43546,91.0,1.0,0.2,21.34,1.6,11.36,2.0
43550,68.0,0.3,0.2,16.3,1.0,14.66,7.0
43595,376.0,4.4,7.5,72.8,2.1,35.1,337.0
43597,280.0,27.5,17.1,3.1,0.0,1.23,16.0
43598,688.0,0.0,77.8,0.3,0.0,0.3,486.0
44005,884.0,0.0,100.0,0.0,0.0,0.0,0.0
44158,181.0,0.41,0.2,44.38,2.6,37.75,12.0
44203,287.0,0.08,0.01,71.6,0.0,24.53,0.0
44258,365.0,10.08,3.0,74.42,10.1,0.7,3326.0
44259,351.0,1.6,0.1,86.04,0.9,2.9,1765.0
90240,111.0,20.54,0.84,5.41,0.0,0.0,667.0
90480,269.0,0.0,0.0,73.14,0.0,73.2,58.0
90560,90.0,16.1,1.4,2.0,0.0,0.0,70.0
93600,89.0,19.8,0.5,0.0,0.0,0.0,68.0
9150,29.0,1.1,0.3,9.32,2.8,2.5,2.0
9152,22.0,0.35,0.24,6.9,0.3,2.52,1.0
9153,17.0,0.45,0.07,5.62,0.7,1.53,24.0
9156,47.0,1.5,0.3,16.0,10.6,4.17,6.0
9287,41.0,0.73,0.51,9.57,3.6,0.0,5.0
9292,107.0,0.96,0.16,28.08,3.1,24.98,1.0
9293,124.0,1.09,0.22,32.88,3.8,0.0,2.0
9294,71.0,0.61,0.03,17.45,1.0,16.45,4.0
9295,38.0,0.76,0.04,9.62,1.0,0.0,1.0
9302,52.0,1.2,0.65,11.94,6.5,4.42,1.0
9304,91.0,0.83,0.12,23.36,3.3,20.06,3.0
9306,103.0,0.7,0.16,26.16,4.4,21.76,1.0
9307,21.0,0.9,0.2,4.54,1.8,1.1,4.0
9313,83.0,0.44,1.1,19.96,5.3,0.0,12.0
9314,124.0,1.45,0.46,32.1,5.4,20.14,7.0
9315,66.0,1.0,0.3,16.84,3.3,13.54,14.0
9316,32.0,0.67,0.3,7.68,2.0,4.89,1.0
9322,239.0,2.8,0.6,62.5,5.1,38.8,28.0
9325,86.0,0.41,0.1,22.36,1.3,0.0,2.0
9326,30.0,0.61,0.15,7.55,0.4,6.2,1.0
9328,165.0,0.22,0.21,41.97,3.2,38.77,4.0
9354,60.0,0.51,0.11,15.56,1.3,14.26,1.0
9357,83.0,0.64,0.11,21.31,2.7,18.65,4.0
9362,42.0,0.69,0.21,10.45,1.2,6.99,4.0
9367,83.0,0.73,0.21,21.07,2.3,16.18,3.0
9400,46.0,0.1,0.13,11.3,0.2,9.62,4.0
9401,42.0,0.17,0.1,11.27,1.1,9.39,2.0
9402,76.0,0.18,0.18,19.91,1.2,0.0,28.0
9404,39.0,0.5,0.1,9.2,0.0,0.0,1.0
9411,47.0,0.14,0.1,11.54,0.1,0.0,7.0
9412,63.0,0.39,0.16,15.01,3.1,9.69,1.0
9413,62.0,0.33,0.14,14.94,3.0,9.54,1.0
9414,67.0,0.36,0.09,16.1,3.1,10.23,1.0
9415,66.0,0.44,0.1,15.79,3.1,9.73,1.0
9423,257.0,2.1,0.2,65.1,3.3,39.0,23.0
9426,322.0,0.34,0.07,82.74,1.6,80.68,98.0
9427,69.0,1.5,0.1,17.6,5.3,8.55,20.0
9428,111.0,2.3,2.0,23.9,6.2,14.1,4.0
9435,63.0,0.09,0.06,16.25,1.0,12.95,6.0
9436,51.0,0.11,0.06,13.12,0.3,12.45,5.0
9437,57.0,0.09,0.12,14.73,0.5,12.7,7.0
9442,54.0,0.15,0.29,13.13,0.1,12.65,9.0
9448,95.0,0.56,1.28,22.79,7.0,15.66,8.0
9449,73.0,0.66,1.16,16.97,7.5,8.31,3.0
9450,25.0,0.44,0.22,5.9,1.1,3.74,4.0
9451,44.0,1.78,1.26,7.56,0.0,0.0,2.0
9452,51.0,0.41,0.08,12.2,0.2,10.57,4.0
9504,63.0,0.2,0.18,15.22,2.1,11.68,1.0
9506,49.0,0.68,0.12,11.54,0.3,8.31,2.0
9507,63.0,0.42,0.0,15.0,0.0,12.5,4.0
9508,53.0,0.6,0.26,12.53,0.7,11.15,6.0
9514,46.0,0.63,0.02,10.9,0.0,9.3,4.0
9515,56.0,0.63,0.33,13.04,0.6,11.46,11.0
9516,52.0,0.44,0.3,12.37,0.6,10.33,5.0
9517,48.0,0.12,0.17,11.49,0.3,9.47,5.0
9523,24.0,0.4,0.07,5.37,0.0,1.42,29.0
9524,17.0,0.47,0.07,5.66,0.7,1.59,26.0
9525,158.0,0.75,0.05,40.4,1.2,31.3,5.0
9526,160.0,1.05,0.04,40.61,1.0,32.2,5.0
9528,44.0,0.5,0.1,10.53,0.2,10.3,8.0
9544,250.0,3.69,0.47,79.65,44.5,0.0,10.0
9546,59.0,0.31,0.54,13.7,0.0,12.21,4.0
9552,41.0,1.02,0.87,7.99,0.9,6.04,4.0
9553,55.0,1.1,0.97,11.51,4.3,6.56,4.0
10003,211.0,18.22,14.79,0.0,0.0,0.0,57.0
10004,812.0,2.92,88.69,0.0,0.0,0.0,11.0
10005,518.0,9.34,53.01,0.0,0.0,0.0,32.0
10006,632.0,9.25,65.7,0.0,0.0,0.0,47.0
10012,182.0,20.27,10.63,0.0,0.0,0.0,73.0
10013,209.0,27.03,10.32,0.0,0.0,0.0,77.0
10014,120.0,21.81,2.93,0.0,0.0,0.0,76.0
10015,165.0,28.86,4.62,0.0,0.0,0.0,80.0
10020,198.0,19.74,12.58,0.0,0.0,0.0,50.0
10021,239.0,27.23,13.62,0.0,0.0,0.0,48.0
10022,242.0,27.32,13.92,0.0,0.0,0.0,62.0
10023,248.0,27.09,14.65,0.0,0.0,0.0,59.0
10028,194.0,19.56,12.27,0.0,0.0,0.0,69.0
10029,255.0,26.54,15.71,0.0,0.0,0.0,69.0
10030,231.0,23.72,14.35,0.0,0.0,0.0,74.0
10031,254.0,24.29,16.71,0.0,0.0,0.0,76.0
10037,242.0,28.21,13.51,0.0,0.0,0.0,73.0
10038,209.0,25.61,11.06,0.0,0.0,0.0,55.0
10039,231.0,27.01,12.8,0.0,0.0,0.0,83.0
10040,127.0,21.99,3.71,0.0,0.0,0.0,58.0
10045,261.0,26.66,16.28,0.0,0.0,0.0,70.0
10046,222.0,24.42,13.04,0.0,0.0,0.0,55.0
10047,248.0,26.99,14.68,0.0,0.0,0.0,91.0
10048,136.0,21.79,4.8,0.0,0.0,0.0,60.0
10053,234.0,28.81,12.31,0.0,0.0,0.0,58.0
10054,222.0,26.96,11.82,0.0,0.0,0.0,86.0
10055,230.0,26.64,12.87,0.0,0.0,0.0,57.0
10056,129.0,21.65,4.02,0.0,0.0,0.0,59.0
10057,195.0,31.0,6.9,0.0,0.0,0.0,58.0
10062,155.0,21.55,6.94,0.0,0.0,0.0,48.0
10063,200.0,29.2,8.31,0.0,0.0,0.0,66.0
10064,196.0,26.62,9.14,0.0,0.0,0.0,44.0
10065,192.0,26.45,8.82,0.0,0.0,0.0,46.0
10070,236.0,17.18,17.99,0.0,0.0,0.0,65.0
10071,292.0,23.28,21.39,0.0,0.0,0.0,68.0
10072,148.0,19.55,7.14,0.0,0.0,0.0,76.0
10073,230.0,25.33,13.54,0.0,0.0,0.0,75.0
10078,194.0,26.76,8.87,0.0,0.0,0.0,100.0
10079,228.0,26.68,12.62,0.0,0.0,0.0,80.0
10080,186.0,17.42,12.36,0.0,0.0,0.0,61.0
10081,267.0,25.07,17.69,0.0,0.0,0.0,58.0
10082,259.0,25.58,16.61,0.0,0.0,0.0,69.0
10087,232.0,24.21,14.3,0.0,0.0,0.0,88.0
10088,277.0,15.47,23.4,0.0,0.0,0.0,81.0
10089,397.0,29.06,30.3,0.0,0.0,0.0,93.0
10093,201.0,27.51,9.21,0.0,0.0,0.0,55.0
10099,233.0,12.49,20.32,0.0,0.0,0.0,18.0
10100,234.0,22.45,15.1,0.6,0.0,0.0,191.0
10101,166.0,15.95,10.8,0.2,0.0,0.0,167.0
10102,212.0,23.16,12.59,0.0,0.0,0.0,132.0
10107,151.0,25.4,4.7,0.0,0.0,0.0,80.0
10109,857.0,1.76,94.16,0.0,0.0,0.0,5.0
10110,134.0,21.39,3.65,2.47,0.0,0.0,87.0
10111,165.0,26.02,4.4,3.76,0.0,0.0,49.0
10112,85.0,14.08,2.72,0.0,0.0,0.0,153.0
10117,100.0,17.86,2.59,0.0,0.0,0.0,98.0
10118,149.0,28.2,3.2,0.0,0.0,0.0,107.0
10119,159.0,16.85,10.14,0.0,0.0,0.0,75.0
10120,222.0,26.38,12.14,0.0,0.0,0.0,88.0
10130,110.0,20.31,2.62,1.34,0.0,0.9,751.0
10132,140.0,11.63,10.02,0.01,0.0,0.0,946.0
10134,145.0,20.93,5.53,1.5,0.0,0.0,1203.0
10136,178.0,22.62,9.02,0.0,0.0,0.0,1500.0
10146,315.0,12.78,28.19,1.69,0.0,0.0,1088.0
10149,122.0,19.56,4.25,0.0,0.0,0.0,1269.0
10150,246.0,18.49,18.52,0.06,0.0,0.0,1284.0
10152,147.0,22.32,5.71,0.05,0.0,0.0,1516.0
10166,579.0,5.68,61.41,0.09,0.0,0.0,505.0
10167,591.0,7.64,61.86,0.0,0.0,0.0,624.0
10168,280.0,20.43,21.35,0.0,0.0,0.0,1072.0
10169,170.0,24.94,7.04,0.0,0.0,0.0,1231.0
10175,396.0,17.0,35.8,0.0,0.0,0.0,25.0
10176,195.0,29.56,7.66,0.0,0.0,0.0,99.0
10177,211.0,28.84,9.73,0.0,0.0,0.0,88.0
10178,256.0,25.02,16.56,0.0,0.0,0.0,85.0
10184,144.0,17.97,7.46,0.0,0.0,0.0,1276.0
10185,167.0,20.94,8.43,0.49,0.0,0.0,1068.0
10186,196.0,29.36,7.86,0.0,0.0,0.0,86.0
10187,216.0,18.95,14.95,0.0,0.0,0.0,55.0
10194,211.0,19.9,14.01,0.0,0.0,0.0,42.0
10195,255.0,26.29,15.79,0.0,0.0,0.0,40.0
10196,260.0,27.63,15.76,0.0,0.0,0.0,62.0
10197,273.0,25.82,18.05,0.0,0.0,0.0,50.0
10202,224.0,27.68,11.8,0.0,0.0,0.0,52.0
10203,214.0,28.81,10.13,0.0,0.0,0.0,50.0
10204,189.0,19.34,11.82,0.0,0.0,0.0,63.0
10205,273.0,26.49,17.71,0.0,0.0,0.0,58.0
10206,359.0,21.75,29.46,0.0,0.0,0.0,52.0
10211,171.0,28.41,5.47,0.0,0.0,0.0,56.0
10212,170.0,28.19,5.53,0.0,0.0,0.0,65.0
10213,192.0,29.62,7.32,0.0,0.0,0.0,66.0
10214,121.0,22.81,2.59,0.0,0.0,0.0,63.0
10219,263.0,16.88,21.19,0.0,0.0,0.0,56.0
10220,297.0,25.69,20.77,0.0,0.0,0.0,73.0
10221,201.0,29.86,8.11,0.0,0.0,0.0,64.0
10222,147.0,26.04,3.96,0.0,0.0,0.0,57.0
10227,235.0,26.07,13.66,0.0,0.0,0.0,55.0
10228,144.0,21.23,5.88,0.0,0.0,0.0,54.0
10229,211.0,29.47,9.44,0.0,0.0,0.0,57.0
10851,106.0,18.43,3.59,0.21,0.0,0.0,1038.0
10852,119.0,18.2,3.07,4.63,0.0,3.33,413.0
10857,122.0,16.88,4.94,1.87,0.0,1.43,1016.0
10858,169.0,28.95,5.0,0.0,0.0,0.0,209.0
10859,190.0,28.35,7.66,0.0,0.0,0.0,205.0
10860,548.0,35.73,43.27,1.35,0.0,0.0,2193.0
10865,121.0,21.41,3.56,0.87,0.0,0.84,1150.0
10866,95.0,15.43,3.48,0.67,0.0,0.67,1170.0
10867,128.0,20.92,4.43,1.2,0.0,0.91,1060.0
10868,131.0,22.04,4.3,1.48,0.0,1.48,1374.0
10873,137.0,24.14,4.25,0.48,0.0,0.48,861.0
10874,145.0,24.95,4.97,0.34,0.0,0.34,820.0
18633,293.0,6.16,11.34,42.41,1.5,4.6,1066.0
18640,241.0,4.4,6.9,40.3,2.1,16.8,300.0
18641,273.0,8.07,4.15,50.84,2.6,11.06,488.0
18651,305.0,5.0,1.09,74.25,1.6,43.38,174.0
18927,490.0,8.92,24.41,58.76,1.9,12.33,878.0
18936,239.0,5.88,4.73,43.33,2.5,7.06,566.0
18938,385.0,4.01,9.02,71.83,1.8,31.0,311.0
18939,409.0,4.7,11.03,72.7,1.0,28.99,354.0
18940,255.0,4.23,4.22,50.05,4.2,27.05,413.0
18946,506.0,3.41,28.69,58.52,1.4,0.0,472.0
18947,521.0,6.1,31.84,52.47,2.3,0.0,393.0
18948,445.0,2.97,25.46,51.11,1.8,0.0,409.0
18949,416.0,11.34,7.59,75.52,10.9,1.22,745.0
18950,444.0,9.34,13.37,71.52,3.4,15.01,776.0
18955,367.0,9.42,11.58,56.38,2.3,12.5,228.0
18956,467.0,6.81,25.24,53.16,1.2,25.81,515.0
18957,418.0,6.62,21.7,48.94,1.0,28.77,357.0
18958,445.0,8.81,16.11,66.28,1.2,21.86,445.0
18963,350.0,8.36,16.61,41.72,2.5,3.69,544.0
18964,452.0,4.45,26.61,48.6,1.2,25.7,305.0
18965,418.0,10.0,11.67,68.19,3.3,0.0,1167.0
18966,398.0,7.14,10.71,68.25,6.7,0.0,1214.0
18971,266.0,12.5,3.13,47.07,6.3,9.38,375.0
18972,408.0,10.42,20.83,44.83,2.1,2.08,750.0
18973,249.0,8.77,7.89,35.82,1.8,1.75,561.0
19000,387.0,16.8,14.29,56.46,2.3,36.4,168.0
19001,489.0,5.71,28.57,61.21,2.5,55.74,54.0
19007,499.0,7.7,22.6,65.1,3.9,4.83,950.0
19008,567.0,5.46,36.54,54.54,0.8,3.57,928.0
19009,446.0,8.5,15.64,71.86,6.9,0.61,564.0
19010,404.0,5.1,13.5,73.0,2.2,0.0,278.0
19017,438.0,7.3,16.3,72.1,4.4,0.0,344.0
19018,341.0,0.0,0.0,85.13,0.1,53.0,0.0
19020,443.0,7.4,17.2,67.3,4.6,0.0,278.0
19021,426.0,10.5,15.8,64.4,4.3,0.0,409.0
19029,609.0,2.94,44.1,50.07,2.9,47.06,29.0
19030,261.0,0.0,0.02,65.1,0.0,65.0,0.0
19031,506.0,17.31,25.58,51.62,13.2,3.0,413.0
19034,387.0,12.94,4.54,77.78,14.5,0.87,8.0
19040,526.0,9.3,33.2,51.6,9.9,0.79,889.0
