ndb,energy_kcal,protein_g,fat_g,carbs_g,fiber_g,sugar_g,sodium_mg
1095,321.0,7.91,8.7,54.4,0.0,54.4,127.0
1096,134.0,6.81,7.56,10.04,0.0,10.04,106.0
1105,77.0,3.52,2.34,10.74,1.0,9.66,44.0
1106,69.0,3.56,4.14,4.45,0.0,4.45,50.0
1107,70.0,1.03,4.38,6.89,0.0,6.89,17.0
1108,97.0,3.75,6.89,5.18,0.0,0.0,52.0
1113,339.0,11.73,0.54,73.45,0.0,73.45,968.0
1114,27.0,0.85,0.36,5.14,0.0,5.14,54.0
1115,353.0,12.93,1.07,74.46,0.0,74.46,1079.0
1116,61.0,3.47,3.25,4.66,0.0,4.66,46.0
1121,102.0,4.37,1.08,19.05,0.0,19.05,58.0
1122,105.0,4.86,1.41,18.6,0.0,0.0,65.0
1123,143.0,12.56,9.51,0.72,0.0,0.37,142.0
1251,384.0,23.54,32.14,0.13,0.0,0.0,607.0
1252,307.0,16.09,23.06,8.85,0.0,6.24,1279.0
1253,371.0,18.13,31.79,3.7,0.0,2.26,1671.0
1254,330.0,16.86,25.63,8.56,0.0,5.59,1441.0
1260,316.0,27.35,20.41,2.67,0.0,0.26,628.0
1263,141.0,3.36,3.69,23.15,0.0,19.46,64.0
1264,358.0,2.11,25.26,37.12,1.1,21.05,84.0
1265,157.0,32.14,0.0,7.14,0.0,0.0,1000.0
1275,71.0,9.07,0.22,8.09,0.3,7.61,36.0
1276,106.0,8.25,2.92,11.67,1.0,11.0,34.0
1278,85.0,8.12,0.14,12.72,0.5,11.4,32.0
1280,84.0,8.03,0.22,12.53,0.4,11.63,33.0
1284,105.0,8.17,2.57,12.29,1.0,11.23,33.0
1290,62.0,3.39,0.9,10.2,0.0,9.21,37.0
1291,107.0,6.67,2.0,15.74,0.0,6.67,100.0
1292,67.0,3.39,0.0,13.46,0.0,8.39,79.0
1293,97.0,9.0,5.0,3.98,0.0,4.0,35.0
1300,303.0,5.62,25.84,11.89,1.1,10.8,56.0
1301,254.0,3.0,14.0,28.89,1.0,21.26,115.0
1302,165.0,1.54,3.08,32.75,0.0,18.46,46.0
1303,72.0,3.33,5.0,3.33,0.0,3.33,50.0
1308,82.0,8.24,4.01,3.24,0.8,0.0,35.0
1312,78.0,8.62,0.15,10.66,0.5,0.0,44.0
1313,80.0,7.76,0.11,11.9,0.7,0.0,32.0
