cluster_id,sub_leaf_label,product_description,branded_food_category,best_esha_description,l1_tree_label,l1_modal_bfc,ingredients_top5,ingredients_top5_cats,has_cocoa,has_milk,has_egg,has_cream,has_batter,has_hot_dog,has_almond,has_lime,has_lemon,has_chipotle,has_pumpkin,what_should_it_be
1590,corn dogs,State Fair Turkey Corn Dogs,Meat/Poultry/Other Animals  Prepared/Processed,"Corn Dog, turkey","Corn Dog, turkey, Popcorn, bite size, frozen",Frozen Appetizers & Hors D'oeuvres,Turkey Frank | Water | Corn Syrup | Flavorings | Salt,protein | other | sweetener | flavor_enhan | mineral,,Y,,,Y,,,,,,,corn_dog
1590,corn dogs,"State Fair Whole Grain Turkey Corn Dogs, 4 oz.",Meat/Poultry/Other Animals  Prepared/Processed,"Corn Dog, turkey","Corn Dog, turkey, Popcorn, bite size, frozen",Frozen Appetizers & Hors D'oeuvres,Turkey Frank | Natural Hickory Smoke Fla | Water | Cornsyrup | Flavorings,protein | flavor_enhan | other | sweetener | flavor_enhan,,Y,,,Y,,,,,,,corn_dog
1590,corn dogs,State Fair Jumbo Corn Dogs with Bags,Meat/Poultry/Other Animals  Prepared/Processed,"Corn Dog, chicken, honey crunchy","Corn Dog, turkey, Popcorn, bite size, frozen",Frozen Appetizers & Hors D'oeuvres,Frank | Pork | Beef Added: Mechanically  | Water | Corn Syrup,protein | protein | protein | other | sweetener,,Y,,,Y,,,,,,,corn_dog
1590,corn dogs,"ORIGINAL MINI BITE SIZED CHICKEN CORN DOGS, CORN",Frozen Appetizers & Hors D'oeuvres,"Corn Dog, chicken, honey crunchy","Corn Dog, turkey, Popcorn, bite size, frozen",Frozen Appetizers & Hors D'oeuvres,Batter | Chicken Frank | Predust,label_note | protein | other,,Y,Y,,Y,,,,,,,corn_dog
1590,corn dogs,"VEGGIE CLASSICS MINI CORN DOGS, VEGGIE CLASSICS",Frozen Appetizers & Hors D'oeuvres,"Corn Dog, veggie","Corn Dog, turkey, Popcorn, bite size, frozen",Frozen Appetizers & Hors D'oeuvres,Water | Wheat Flour | Sugar | Wheat Gluten | Yellow Corn Meal,other | grain | sweetener | protein | grain,,,,,,,,,,,,corn_dog
1590,corn dogs,"MINIATURE PLANT-BASED CORN DOGS, MINIATURE",Frozen Appetizers & Hors D'oeuvres,"Corn Dog, veggie","Corn Dog, turkey, Popcorn, bite size, frozen",Frozen Appetizers & Hors D'oeuvres,Field Roast Frankfurter | Batter Coating | Canola Oil,protein | produce | oil_fat,,,,,Y,Y,,,,,,corn_dog
1590,corn dogs,"FULLY COOKED MINI TURKEY CORN DOGS, HONEY",Frozen Appetizers & Hors D'oeuvres,"Corn Dog, turkey","Corn Dog, turkey, Popcorn, bite size, frozen",Frozen Appetizers & Hors D'oeuvres,Water | Enriched Wheat Flour | Sugar | Enriched Corn Meal | Yellow Corn Flour,other | grain | sweetener | grain | grain,,Y,Y,,Y,,,,,,,corn_dog
1590,corn dogs,CORN DOGS,Frozen Appetizers & Hors D'oeuvres,"Corn Dog, chicken, honey crunchy","Corn Dog, turkey, Popcorn, bite size, frozen",Frozen Appetizers & Hors D'oeuvres,Water | Enriched Flour | Sugar | Degermed Yellow Corn Meal | Salt,other | grain | sweetener | grain | mineral,,Y,,,Y,,,,,,,corn_dog
1590,corn dogs,CORN DOGS,Frozen Appetizers & Hors D'oeuvres,"Corn Dog, chicken, honey crunchy","Corn Dog, turkey, Popcorn, bite size, frozen",Frozen Appetizers & Hors D'oeuvres,Water | Enriched Flour | Sugar | Degermed Yellow Corn Meal | Salt,other | grain | sweetener | grain | mineral,,Y,,,Y,,,,,,,corn_dog
1590,corn dogs,CORN DOGS,Frozen Appetizers & Hors D'oeuvres,"Corn Dog, chicken, honey crunchy","Corn Dog, turkey, Popcorn, bite size, frozen",Frozen Appetizers & Hors D'oeuvres,Water | Enriched Flour | Sugar | Degermed Yellow Corn Meal | Salt,other | grain | sweetener | grain | mineral,,Y,,,Y,,,,,,,corn_dog
1590,corn dogs,CORN DOGS,Frozen Appetizers & Hors D'oeuvres,"Corn Dog, chicken, honey crunchy","Corn Dog, turkey, Popcorn, bite size, frozen",Frozen Appetizers & Hors D'oeuvres,Water | Enriched Flour | Sugar | Degermed Yellow Corn Meal | Salt,other | grain | sweetener | grain | mineral,,Y,,,,,,,,,,corn_dog
1590,corn dogs,CORN DOGS,Frozen Appetizers & Hors D'oeuvres,"Corn Dog, chicken, honey crunchy","Corn Dog, turkey, Popcorn, bite size, frozen",Frozen Appetizers & Hors D'oeuvres,Water | Enriched Flour | Sugar | Degermed Yellow Corn Meal | Salt,other | grain | sweetener | grain | mineral,,Y,,,Y,,,,,,,corn_dog
1590,corn dogs,"BREADED POPCORN UNCURED GLUTEN FREE TURKEY CORN DOGS, BREADED POPCORN UNCURED",Frozen Appetizers & Hors D'oeuvres,"Corn Dog, turkey, Popcorn, bite size, frozen","Corn Dog, turkey, Popcorn, bite size, frozen",Frozen Appetizers & Hors D'oeuvres,Uncured Turkey Hot Dogs | Batter | Breading | Breading Set in Canola Oi,protein | label_note | grain | grain,,,,,Y,Y,,,,,,corn_dog
1590,corn dogs,CONEY ISLAND CORN DOGS,Frozen Appetizers & Hors D'oeuvres,"Corn Dog, beef & pork, jumbo, FS","Corn Dog, turkey, Popcorn, bite size, frozen",Frozen Appetizers & Hors D'oeuvres,Water | Enriched Flour | Sugar | Degermed Yellow Corn Meal | Salt,other | grain | sweetener | grain | mineral,,Y,,,Y,,,,,,,corn_dog
