axis,token,frequency
CATEGORY,pierogi,68
CATEGORY,pies,242
CATEGORY,pineapple,5988
CATEGORY,pinto,843
CATEGORY,pistachio,710
CATEGORY,pistachios,788
CATEGORY,pita,598
CATEGORY,plantain,338
CATEGORY,plantains,40
CATEGORY,plum,470
CATEGORY,pomegranate,2137
CATEGORY,pop,1003
CATEGORY,popcorn,3754
CATEGORY,popped,472
CATEGORY,poppedchip,0
CATEGORY,poppedrice,0
CATEGORY,poppy,403
CATEGORY,pops,1231
CATEGORY,popsicle,1
CATEGORY,poptart,0
CATEGORY,pork,5470
CATEGORY,porkjerky,0
CATEGORY,porridge,29
CATEGORY,pot,586
CATEGORY,potato,9394
CATEGORY,potatoes,3345
CATEGORY,potpie,2
CATEGORY,powdered-sugar,0
CATEGORY,preserves,818
CATEGORY,pretzel,2336
CATEGORY,pretzels,2190
CATEGORY,processed,97
CATEGORY,prosciutto,319
CATEGORY,protein,6831
CATEGORY,proteinbar,0
CATEGORY,proteinbars,0
CATEGORY,proteinbowl,0
CATEGORY,provolone,1196
CATEGORY,pudding,1368
CATEGORY,puddings,8
CATEGORY,puff,300
CATEGORY,puffer,0
CATEGORY,puffs,1176
CATEGORY,puffsnack,0
CATEGORY,pumpkin,4573
CATEGORY,pumpkinseed,3
CATEGORY,punch,3129
CATEGORY,quencher,512
CATEGORY,queso,1346
CATEGORY,quinoa,1822
CATEGORY,radish,62
CATEGORY,raisin,1945
CATEGORY,raisins,2139
CATEGORY,ramen,508
CATEGORY,raspberries,414
CATEGORY,raspberry,8986
CATEGORY,ravioli,1275
CATEGORY,relish,587
CATEGORY,rib,1040
CATEGORY,ribeye,95
CATEGORY,ribs,276
CATEGORY,rice,9588
CATEGORY,ricebowl,0
CATEGORY,ricebran,0
CATEGORY,ricecake,0
CATEGORY,ricecakes,0
CATEGORY,ricotta,1013
CATEGORY,rigatoni,298
CATEGORY,ritz,135
CATEGORY,roast,1115
CATEGORY,roll,1591
CATEGORY,roll-up,0
CATEGORY,rolls,2464
CATEGORY,rollup,3
CATEGORY,rollups,5
CATEGORY,romaine,542
CATEGORY,romano,1214
CATEGORY,root,1000
CATEGORY,roots,60
CATEGORY,rosemary,1108
CATEGORY,rotini,470
CATEGORY,rub,852
CATEGORY,rye,535
CATEGORY,sage,228
CATEGORY,salad-kit,0
CATEGORY,saladkit,0
CATEGORY,salame,388
CATEGORY,salami,913
CATEGORY,salmon,1918
CATEGORY,salsa,4104
CATEGORY,salt,12620
CATEGORY,saltines,76
CATEGORY,saltwater-taffy,0
CATEGORY,sandwich,3756
CATEGORY,sandwiches,1488
CATEGORY,sardine,19
CATEGORY,sardines,395
CATEGORY,sauce,23892
CATEGORY,sauces,218
CATEGORY,sauerkraut,288
CATEGORY,sausage,7720
CATEGORY,sausages,234
CATEGORY,scallop,33
CATEGORY,scone,67
CATEGORY,scones,104
CATEGORY,seafood,794
CATEGORY,seasoning,4764
CATEGORY,seasonings,315
CATEGORY,seaweed,379
CATEGORY,seedcracker,0
CATEGORY,seitan,51
CATEGORY,seltzer,929
CATEGORY,semolina,340
CATEGORY,sesame,2681
CATEGORY,sesame-oil,0
CATEGORY,shake,1432
CATEGORY,sherbet,462
CATEGORY,shoots,50
CATEGORY,shortbread,863
CATEGORY,shortening,86
CATEGORY,shortgrain,0
CATEGORY,shot,256
CATEGORY,shots,42
CATEGORY,shrimp,3243
CATEGORY,singles,560
CATEGORY,sirloin,277
CATEGORY,slider,108
CATEGORY,sliders,220
CATEGORY,slimjim,0
CATEGORY,smoothie,1350
CATEGORY,smoothies,83
CATEGORY,smores,39
CATEGORY,snack,5722
CATEGORY,snacks,3893
CATEGORY,snapper,78
CATEGORY,snickerdoodle,441
CATEGORY,soba,32
CATEGORY,soda,4730
CATEGORY,sole,35
CATEGORY,soppressata,59
CATEGORY,sorbet,298
CATEGORY,soup,5505
CATEGORY,soy,1468
CATEGORY,soyprotein,0
CATEGORY,spaghetti,1519
CATEGORY,spelt,148
CATEGORY,spice,2990
CATEGORY,spices,854
CATEGORY,spinach,3476
CATEGORY,spoons,51
CATEGORY,sport,155
CATEGORY,spread-butter,0
CATEGORY,spreadable,496
CATEGORY,sprinkles,1017
CATEGORY,sprout,29
CATEGORY,sprouts,485
CATEGORY,square,154
CATEGORY,squares,1081
CATEGORY,squash,937
CATEGORY,steak,2321
CATEGORY,stew,378
CATEGORY,stickrice,0
CATEGORY,sticky,98
CATEGORY,stock,348
CATEGORY,strawberries,1520
CATEGORY,strawberry,18371
CATEGORY,straws,244
CATEGORY,streusel,243
CATEGORY,string,490
CATEGORY,strudel,91
CATEGORY,stuffing,521
CATEGORY,sub,285
CATEGORY,suckers,4
CATEGORY,sugar,10875
CATEGORY,sundae,493
CATEGORY,sundaes,27
CATEGORY,sunflower,1570
CATEGORY,sunflower-oil,0
CATEGORY,supplement,75
CATEGORY,supplements,1
CATEGORY,sushi,202
CATEGORY,sushikit,0
CATEGORY,sushirice,0
CATEGORY,sweetpotato,5
CATEGORY,swirls,472
CATEGORY,swiss,1750
CATEGORY,swordfish,40
CATEGORY,syrup,3902
CATEGORY,taffy,336
CATEGORY,tart,720
CATEGORY,tarts,255
CATEGORY,tea,6214
CATEGORY,tempeh,32
CATEGORY,thyme,225
CATEGORY,tikka,300
CATEGORY,tilapia,320
CATEGORY,toast,1005
CATEGORY,toaster,708
CATEGORY,toasterstrudel,0
CATEGORY,toffees,11
CATEGORY,tofu,371
CATEGORY,tomato,8190
CATEGORY,tomatoes,3468
CATEGORY,tonic,435
CATEGORY,topping,1386
CATEGORY,toppings,144
CATEGORY,tortellini,387
CATEGORY,tortilla,3190
CATEGORY,tortillas,1276
CATEGORY,tracks,502
CATEGORY,trail,2397
CATEGORY,trailbar,0
CATEGORY,trailmix,0
CATEGORY,trout,51
CATEGORY,truffle,1557
CATEGORY,truffles,1072
CATEGORY,tuna,1744
CATEGORY,turbinado,71
CATEGORY,turkey,5341
CATEGORY,turkeyjerky,0
CATEGORY,turnip,67
CATEGORY,turnover,39
CATEGORY,turnovers,33
CATEGORY,twist,635
CATEGORY,twists,573
CATEGORY,udon,80
CATEGORY,veal,66
CATEGORY,vegetable,4679
CATEGORY,vegetable-oil,0
CATEGORY,vegetables,2154
CATEGORY,veggie,2137
CATEGORY,veggiebowl,0
CATEGORY,veggies,384
CATEGORY,veggiestraws,0
CATEGORY,vera,354
CATEGORY,vinegar,3055
CATEGORY,wafer,511
CATEGORY,wafers,1183
CATEGORY,wakame,19
CATEGORY,walnut,1144
CATEGORY,walnuts,1050
CATEGORY,water,8772
CATEGORY,watermelon,3434
CATEGORY,wheat,5907
CATEGORY,wheatbran,0
CATEGORY,whey,546
CATEGORY,wildrice,0
CATEGORY,wine,1137
CATEGORY,worms,634
CATEGORY,wrap,396
CATEGORY,yogurt,9267
CATEGORY,ziti,204
CATEGORY,zucchini,538
FLAVOR_UNIVERSAL,acai,709
FLAVOR_UNIVERSAL,acerola,37
FLAVOR_UNIVERSAL,acidic,0
FLAVOR_UNIVERSAL,acorn,12
FLAVOR_UNIVERSAL,adobo,272
FLAVOR_UNIVERSAL,aged,865
FLAVOR_UNIVERSAL,aioli,138
FLAVOR_UNIVERSAL,alfredo,1309
FLAVOR_UNIVERSAL,allspice,23
FLAVOR_UNIVERSAL,almond,7808
FLAVOR_UNIVERSAL,amaranth,102
FLAVOR_UNIVERSAL,amarillo,43
FLAVOR_UNIVERSAL,amazonrainforest,0
FLAVOR_UNIVERSAL,americone,7
FLAVOR_UNIVERSAL,ancho,138
FLAVOR_UNIVERSAL,ancient,525
FLAVOR_UNIVERSAL,anise,80
FLAVOR_UNIVERSAL,anjou,9
FLAVOR_UNIVERSAL,apple,14322
FLAVOR_UNIVERSAL,applecinnamon,2
FLAVOR_UNIVERSAL,applepie,0
FLAVOR_UNIVERSAL,applesauce,0
FLAVOR_UNIVERSAL,applewood,797
FLAVOR_UNIVERSAL,apricot,852
FLAVOR_UNIVERSAL,aroma,9
FLAVOR_UNIVERSAL,aromatic,83
FLAVOR_UNIVERSAL,artisan,1249
FLAVOR_UNIVERSAL,artisanal,209
FLAVOR_UNIVERSAL,asian,924
FLAVOR_UNIVERSAL,autumn,159
FLAVOR_UNIVERSAL,bagel,529
FLAVOR_UNIVERSAL,balsamic,1775
FLAVOR_UNIVERSAL,banana,5355
FLAVOR_UNIVERSAL,banananut,0
FLAVOR_UNIVERSAL,banananutbread,0
FLAVOR_UNIVERSAL,barbecue,1926
FLAVOR_UNIVERSAL,barbeque,721
FLAVOR_UNIVERSAL,barley,353
FLAVOR_UNIVERSAL,bartlett,185
FLAVOR_UNIVERSAL,basil,3027
FLAVOR_UNIVERSAL,bavarian,99
FLAVOR_UNIVERSAL,bay,269
FLAVOR_UNIVERSAL,bayleaf,0
FLAVOR_UNIVERSAL,bbq,4785
FLAVOR_UNIVERSAL,bbqsauce,5
FLAVOR_UNIVERSAL,beech,13
FLAVOR_UNIVERSAL,berries,916
FLAVOR_UNIVERSAL,berry,6489
FLAVOR_UNIVERSAL,bing,51
FLAVOR_UNIVERSAL,birthday,994
FLAVOR_UNIVERSAL,bittersweet,131
FLAVOR_UNIVERSAL,black,8754
FLAVOR_UNIVERSAL,blackberry,1365
FLAVOR_UNIVERSAL,blackforest,0
FLAVOR_UNIVERSAL,blanco,162
FLAVOR_UNIVERSAL,blood,601
FLAVOR_UNIVERSAL,bloodorange,0
FLAVOR_UNIVERSAL,bloody,333
FLAVOR_UNIVERSAL,bloodymary,1
FLAVOR_UNIVERSAL,blueberry,7172
FLAVOR_UNIVERSAL,blueberrymuffin,0
FLAVOR_UNIVERSAL,bold,618
FLAVOR_UNIVERSAL,bourbon,978
FLAVOR_UNIVERSAL,boysenberry,64
FLAVOR_UNIVERSAL,bran,721
FLAVOR_UNIVERSAL,brew,952
FLAVOR_UNIVERSAL,brewed,388
FLAVOR_UNIVERSAL,bright,101
FLAVOR_UNIVERSAL,brittle,324
FLAVOR_UNIVERSAL,brown,4993
FLAVOR_UNIVERSAL,brownbutter,0
FLAVOR_UNIVERSAL,brownsugar,1
FLAVOR_UNIVERSAL,bubble,504
FLAVOR_UNIVERSAL,bubblegum,72
FLAVOR_UNIVERSAL,buckwheat,153
FLAVOR_UNIVERSAL,buffalo,2200
FLAVOR_UNIVERSAL,buffaloranch,0
FLAVOR_UNIVERSAL,buffalowing,0
FLAVOR_UNIVERSAL,bunny,509
FLAVOR_UNIVERSAL,bunnytracks,0
FLAVOR_UNIVERSAL,butter-toffee,0
FLAVOR_UNIVERSAL,buttermilk,1757
FLAVOR_UNIVERSAL,butternut,760
FLAVOR_UNIVERSAL,butterpecan,0
FLAVOR_UNIVERSAL,butterscotch,472
FLAVOR_UNIVERSAL,butterscotchsauce,0
FLAVOR_UNIVERSAL,buttertoffee,0
FLAVOR_UNIVERSAL,buttery,864
FLAVOR_UNIVERSAL,cacao,1167
FLAVOR_UNIVERSAL,caesar,1263
FLAVOR_UNIVERSAL,caferoyal,0
FLAVOR_UNIVERSAL,cajun,1050
FLAVOR_UNIVERSAL,cakebatter,0
FLAVOR_UNIVERSAL,candied,185
FLAVOR_UNIVERSAL,candycane,9
FLAVOR_UNIVERSAL,candycorn,0
FLAVOR_UNIVERSAL,cantaloupe,90
FLAVOR_UNIVERSAL,caramel,12231
FLAVOR_UNIVERSAL,caramelapple,0
FLAVOR_UNIVERSAL,caramelchocolate,0
FLAVOR_UNIVERSAL,caramelized,493
FLAVOR_UNIVERSAL,caramelsauce,0
FLAVOR_UNIVERSAL,caramelsyrup,0
FLAVOR_UNIVERSAL,caraway,82
FLAVOR_UNIVERSAL,cardamom,125
FLAVOR_UNIVERSAL,caribbean,253
FLAVOR_UNIVERSAL,carrotcake,0
FLAVOR_UNIVERSAL,cashew,1600
FLAVOR_UNIVERSAL,cayenne,371
FLAVOR_UNIVERSAL,chai,648
FLAVOR_UNIVERSAL,charbroiled,38
FLAVOR_UNIVERSAL,charred,28
FLAVOR_UNIVERSAL,cheesy,936
FLAVOR_UNIVERSAL,cherry,11145
FLAVOR_UNIVERSAL,cherry-bourbon,0
FLAVOR_UNIVERSAL,cherrygarcia,0
FLAVOR_UNIVERSAL,cherrywood,71
FLAVOR_UNIVERSAL,chia,1249
FLAVOR_UNIVERSAL,chilipowder,1
FLAVOR_UNIVERSAL,chiliverde,0
FLAVOR_UNIVERSAL,chip,7941
FLAVOR_UNIVERSAL,chipotle,2512
FLAVOR_UNIVERSAL,choco,409
FLAVOR_UNIVERSAL,chocolate,61184
FLAVOR_UNIVERSAL,chocolatecaramel,0
FLAVOR_UNIVERSAL,chocolatechip,1
FLAVOR_UNIVERSAL,chocolatecovered,0
FLAVOR_UNIVERSAL,chocolatemint,0
FLAVOR_UNIVERSAL,chocolatestrawberry,0
FLAVOR_UNIVERSAL,chocolatesyrup,0
FLAVOR_UNIVERSAL,chocolatetoffee,0
FLAVOR_UNIVERSAL,chocolatey,1001
FLAVOR_UNIVERSAL,chocomint,5
FLAVOR_UNIVERSAL,christmas,350
FLAVOR_UNIVERSAL,chunk,1907
FLAVOR_UNIVERSAL,chunky,1910
FLAVOR_UNIVERSAL,chunkymonkey,0
FLAVOR_UNIVERSAL,cilantro,896
FLAVOR_UNIVERSAL,cinnamon,9637
FLAVOR_UNIVERSAL,cinnamonbun,0
FLAVOR_UNIVERSAL,cinnamonroll,0
FLAVOR_UNIVERSAL,cinnamonsugar,0
FLAVOR_UNIVERSAL,citrus,1715
FLAVOR_UNIVERSAL,classic,6555
FLAVOR_UNIVERSAL,clementine,90
FLAVOR_UNIVERSAL,cling,548
FLAVOR_UNIVERSAL,clingstone,7
FLAVOR_UNIVERSAL,clove,46
FLAVOR_UNIVERSAL,cloves,32
FLAVOR_UNIVERSAL,cocoa,3368
FLAVOR_UNIVERSAL,coconut,9182
FLAVOR_UNIVERSAL,colada,341
FLAVOR_UNIVERSAL,cold,1872
FLAVOR_UNIVERSAL,coldbrew,3
FLAVOR_UNIVERSAL,concord,611
FLAVOR_UNIVERSAL,confetti,425
FLAVOR_UNIVERSAL,cookieanddough,0
FLAVOR_UNIVERSAL,cookiedough,1
FLAVOR_UNIVERSAL,cookiesandcream,0
FLAVOR_UNIVERSAL,cookiesncream,0
FLAVOR_UNIVERSAL,coriander,81
FLAVOR_UNIVERSAL,country,1467
FLAVOR_UNIVERSAL,cracked,819
FLAVOR_UNIVERSAL,cracker,955
FLAVOR_UNIVERSAL,cranberry,5024
FLAVOR_UNIVERSAL,creole,340
FLAVOR_UNIVERSAL,crispyrice,0
FLAVOR_UNIVERSAL,crouton,48
FLAVOR_UNIVERSAL,crown,21
FLAVOR_UNIVERSAL,crumble,336
FLAVOR_UNIVERSAL,crunch,3373
FLAVOR_UNIVERSAL,crunchy,3936
FLAVOR_UNIVERSAL,cumin,133
FLAVOR_UNIVERSAL,dark,12832
FLAVOR_UNIVERSAL,darkchocolate,0
FLAVOR_UNIVERSAL,darksweetcherry,0
FLAVOR_UNIVERSAL,deep,340
FLAVOR_UNIVERSAL,deepchocolate,0
FLAVOR_UNIVERSAL,deli,1290
FLAVOR_UNIVERSAL,delicata,2
FLAVOR_UNIVERSAL,delicate,95
FLAVOR_UNIVERSAL,delicious,717
FLAVOR_UNIVERSAL,delight,611
FLAVOR_UNIVERSAL,deluxe,1551
FLAVOR_UNIVERSAL,dijon,588
FLAVOR_UNIVERSAL,dill,2696
FLAVOR_UNIVERSAL,dragonfruit,71
FLAVOR_UNIVERSAL,dynasty,22
FLAVOR_UNIVERSAL,earthy,13
FLAVOR_UNIVERSAL,easter,414
FLAVOR_UNIVERSAL,elderberry,209
FLAVOR_UNIVERSAL,elderflower,82
FLAVOR_UNIVERSAL,emperor,3
FLAVOR_UNIVERSAL,everything,951
FLAVOR_UNIVERSAL,exotic,56
FLAVOR_UNIVERSAL,extraaged,0
FLAVOR_UNIVERSAL,extracrispy,0
FLAVOR_UNIVERSAL,extradark,0
FLAVOR_UNIVERSAL,extrasharp,0
FLAVOR_UNIVERSAL,fall,148
FLAVOR_UNIVERSAL,fancy,877
FLAVOR_UNIVERSAL,farmhouse,176
FLAVOR_UNIVERSAL,fashioned,1476
FLAVOR_UNIVERSAL,favorites,169
FLAVOR_UNIVERSAL,fennel,144
FLAVOR_UNIVERSAL,fire,1180
FLAVOR_UNIVERSAL,fivespice,0
FLAVOR_UNIVERSAL,flame,263
FLAVOR_UNIVERSAL,flavor,4558
FLAVOR_UNIVERSAL,flavored,19751
FLAVOR_UNIVERSAL,flax,844
FLAVOR_UNIVERSAL,flax-meal,0
FLAVOR_UNIVERSAL,flaxseed,257
FLAVOR_UNIVERSAL,floral,21
FLAVOR_UNIVERSAL,fluffer,0
FLAVOR_UNIVERSAL,fluffernutter,0
FLAVOR_UNIVERSAL,forest,557
FLAVOR_UNIVERSAL,fourth,1
FLAVOR_UNIVERSAL,freestone,15
FLAVOR_UNIVERSAL,fresh,3698
FLAVOR_UNIVERSAL,fruit,14808
FLAVOR_UNIVERSAL,fruity,757
FLAVOR_UNIVERSAL,fudge,4389
FLAVOR_UNIVERSAL,fuji,166
FLAVOR_UNIVERSAL,funfetti,70
FLAVOR_UNIVERSAL,gala,111
FLAVOR_UNIVERSAL,garlic,10577
FLAVOR_UNIVERSAL,garlicherb,0
FLAVOR_UNIVERSAL,garlicparmesan,0
FLAVOR_UNIVERSAL,gin,20
FLAVOR_UNIVERSAL,ginger,5073
FLAVOR_UNIVERSAL,gingerbread,950
FLAVOR_UNIVERSAL,gingerbreadhouse,0
FLAVOR_UNIVERSAL,gingersnap,35
FLAVOR_UNIVERSAL,glazed,1196
FLAVOR_UNIVERSAL,goji,242
FLAVOR_UNIVERSAL,gold,1206
FLAVOR_UNIVERSAL,golden,2449
FLAVOR_UNIVERSAL,gourmet,3660
FLAVOR_UNIVERSAL,graham,1160
FLAVOR_UNIVERSAL,grahamcracker,0
FLAVOR_UNIVERSAL,granny,102
FLAVOR_UNIVERSAL,grannysmith,0
FLAVOR_UNIVERSAL,grape,5141
FLAVOR_UNIVERSAL,grapefruit,1410
FLAVOR_UNIVERSAL,greek,4047
FLAVOR_UNIVERSAL,green,9667
FLAVOR_UNIVERSAL,guacasalsa,4
FLAVOR_UNIVERSAL,guajillo,47
FLAVOR_UNIVERSAL,guava,838
FLAVOR_UNIVERSAL,habanero,1341
FLAVOR_UNIVERSAL,halfbaked,0
FLAVOR_UNIVERSAL,halloween,349
FLAVOR_UNIVERSAL,hatch,542
FLAVOR_UNIVERSAL,hawaiian,754
FLAVOR_UNIVERSAL,hazelnut,2237
FLAVOR_UNIVERSAL,hearty,621
FLAVOR_UNIVERSAL,hemp,482
FLAVOR_UNIVERSAL,herbed,70
FLAVOR_UNIVERSAL,herblemon,0
FLAVOR_UNIVERSAL,herby,16
FLAVOR_UNIVERSAL,hibiscus,536
FLAVOR_UNIVERSAL,hickory,1819
FLAVOR_UNIVERSAL,hint,322
FLAVOR_UNIVERSAL,hoisin,82
FLAVOR_UNIVERSAL,holiday,1214
FLAVOR_UNIVERSAL,homestyle,2422
FLAVOR_UNIVERSAL,honey,12262
FLAVOR_UNIVERSAL,honeybarbecue,0
FLAVOR_UNIVERSAL,honeybbq,0
FLAVOR_UNIVERSAL,honeycomb,43
FLAVOR_UNIVERSAL,honeycrisp,185
FLAVOR_UNIVERSAL,honeydew,50
FLAVOR_UNIVERSAL,honeylemon,0
FLAVOR_UNIVERSAL,honeylime,0
FLAVOR_UNIVERSAL,honeymustard,0
FLAVOR_UNIVERSAL,honeynut,1
FLAVOR_UNIVERSAL,honeyroasted,0
FLAVOR_UNIVERSAL,honeyteriyaki,1
FLAVOR_UNIVERSAL,horchata,118
FLAVOR_UNIVERSAL,horseradish,675
FLAVOR_UNIVERSAL,hot,11098
FLAVOR_UNIVERSAL,hotandsour,0
FLAVOR_UNIVERSAL,hotandspicy,0
FLAVOR_UNIVERSAL,hotchocolate,0
FLAVOR_UNIVERSAL,hotcocoa,4
FLAVOR_UNIVERSAL,hotfudge,0
FLAVOR_UNIVERSAL,hotnspicy,0
FLAVOR_UNIVERSAL,hubbard,0
FLAVOR_UNIVERSAL,icedchocolate,0
FLAVOR_UNIVERSAL,imperial,45
FLAVOR_UNIVERSAL,indulgence,32
FLAVOR_UNIVERSAL,infused,875
FLAVOR_UNIVERSAL,island,691
FLAVOR_UNIVERSAL,italian,8130
FLAVOR_UNIVERSAL,italianseasoning,0
FLAVOR_UNIVERSAL,jalapeno,4723
FLAVOR_UNIVERSAL,jalapeño,0
FLAVOR_UNIVERSAL,jerk,286
FLAVOR_UNIVERSAL,juicy,318
FLAVOR_UNIVERSAL,july,60
FLAVOR_UNIVERSAL,kabocha,3
FLAVOR_UNIVERSAL,ketchup,935
FLAVOR_UNIVERSAL,key,1158
FLAVOR_UNIVERSAL,keylime,12
FLAVOR_UNIVERSAL,king,284
FLAVOR_UNIVERSAL,lavender,316
FLAVOR_UNIVERSAL,legendary,65
FLAVOR_UNIVERSAL,lemon,12029
FLAVOR_UNIVERSAL,lemonherb,1
FLAVOR_UNIVERSAL,lemonpepper,0
FLAVOR_UNIVERSAL,licorice,465
FLAVOR_UNIVERSAL,lightlysweetened,0
FLAVOR_UNIVERSAL,lime,7715
FLAVOR_UNIVERSAL,loaded,516
FLAVOR_UNIVERSAL,macadamia,674
FLAVOR_UNIVERSAL,malt,279
FLAVOR_UNIVERSAL,malta,20
FLAVOR_UNIVERSAL,maltedmilk,0
FLAVOR_UNIVERSAL,malty,2
FLAVOR_UNIVERSAL,mandarin,817
FLAVOR_UNIVERSAL,mango,6898
FLAVOR_UNIVERSAL,mangosalsa,0
FLAVOR_UNIVERSAL,maple,4234
FLAVOR_UNIVERSAL,maple-bacon,0
FLAVOR_UNIVERSAL,maplebacon,0
FLAVOR_UNIVERSAL,maplebrown,0
FLAVOR_UNIVERSAL,maplebrownsugar,0
FLAVOR_UNIVERSAL,mapleleaf,0
FLAVOR_UNIVERSAL,maplesyrup,0
FLAVOR_UNIVERSAL,maplewalnut,0
FLAVOR_UNIVERSAL,maplewhiskey,0
FLAVOR_UNIVERSAL,maraschino,300
FLAVOR_UNIVERSAL,marbled,68
FLAVOR_UNIVERSAL,margarita,379
FLAVOR_UNIVERSAL,marinara,1440
FLAVOR_UNIVERSAL,mary,351
FLAVOR_UNIVERSAL,masala,550
FLAVOR_UNIVERSAL,matcha,569
FLAVOR_UNIVERSAL,maxsize,0
FLAVOR_UNIVERSAL,mayo,260
FLAVOR_UNIVERSAL,mcintosh,21
FLAVOR_UNIVERSAL,mediterranean,1098
FLAVOR_UNIVERSAL,medium,4122
FLAVOR_UNIVERSAL,mega,281
FLAVOR_UNIVERSAL,mellow,86
FLAVOR_UNIVERSAL,melon,422
FLAVOR_UNIVERSAL,mesquite,615
FLAVOR_UNIVERSAL,mexican,2058
FLAVOR_UNIVERSAL,mild,6252
FLAVOR_UNIVERSAL,milk,21806
FLAVOR_UNIVERSAL,milkchocolate,3
FLAVOR_UNIVERSAL,millet,107
FLAVOR_UNIVERSAL,mint,3936
FLAVOR_UNIVERSAL,mintchip,0
FLAVOR_UNIVERSAL,mintchoco,0
FLAVOR_UNIVERSAL,mintchocolate,0
FLAVOR_UNIVERSAL,mintchocolatechip,2
FLAVOR_UNIVERSAL,mintsandwich,0
FLAVOR_UNIVERSAL,minty,56
FLAVOR_UNIVERSAL,miso,398
FLAVOR_UNIVERSAL,mocha,1478
FLAVOR_UNIVERSAL,mojito,112
FLAVOR_UNIVERSAL,molasses,272
FLAVOR_UNIVERSAL,montreal,66
FLAVOR_UNIVERSAL,montrealsteak,0
FLAVOR_UNIVERSAL,moose,457
FLAVOR_UNIVERSAL,moosetracks,0
FLAVOR_UNIVERSAL,mores,965
FLAVOR_UNIVERSAL,mountain,737
FLAVOR_UNIVERSAL,multigrain,1257
FLAVOR_UNIVERSAL,mustard,2587
FLAVOR_UNIVERSAL,nacho,1084
FLAVOR_UNIVERSAL,nashville-hot,0
FLAVOR_UNIVERSAL,nashvillehot,0
FLAVOR_UNIVERSAL,neapolitan,481
FLAVOR_UNIVERSAL,negro,12
FLAVOR_UNIVERSAL,nigella,4
FLAVOR_UNIVERSAL,nougat,583
FLAVOR_UNIVERSAL,nut,4235
FLAVOR_UNIVERSAL,nutella,14
FLAVOR_UNIVERSAL,nutmeg,64
FLAVOR_UNIVERSAL,nutter,42
FLAVOR_UNIVERSAL,nutty,421
FLAVOR_UNIVERSAL,nyc,0
FLAVOR_UNIVERSAL,oak,57
FLAVOR_UNIVERSAL,oaky,2
FLAVOR_UNIVERSAL,oat,5172
FLAVOR_UNIVERSAL,oat-bran,0
FLAVOR_UNIVERSAL,oatmealraisin,1
FLAVOR_UNIVERSAL,oats,2172
FLAVOR_UNIVERSAL,old,2097
FLAVOR_UNIVERSAL,oldbay,0
FLAVOR_UNIVERSAL,oldfashioned,2
FLAVOR_UNIVERSAL,onion,4900
FLAVOR_UNIVERSAL,orange,11795
FLAVOR_UNIVERSAL,oregano,308
FLAVOR_UNIVERSAL,oreo,475
FLAVOR_UNIVERSAL,oreocheesecake,0
FLAVOR_UNIVERSAL,oreocrunch,0
FLAVOR_UNIVERSAL,original,19976
FLAVOR_UNIVERSAL,papaya,260
FLAVOR_UNIVERSAL,paprika,199
FLAVOR_UNIVERSAL,parsley,323
FLAVOR_UNIVERSAL,party,795
FLAVOR_UNIVERSAL,passion,930
FLAVOR_UNIVERSAL,passionfruit,278
FLAVOR_UNIVERSAL,patrick,17
FLAVOR_UNIVERSAL,patriotic,108
FLAVOR_UNIVERSAL,pbj,0
FLAVOR_UNIVERSAL,peach,5451
FLAVOR_UNIVERSAL,peachesncream,0
FLAVOR_UNIVERSAL,peanut,13157
FLAVOR_UNIVERSAL,peanutbrittle,0
FLAVOR_UNIVERSAL,peanutbutter,0
FLAVOR_UNIVERSAL,peanutbutterchocolate,0
FLAVOR_UNIVERSAL,peanutbuttercup,0
FLAVOR_UNIVERSAL,peanutbuttercups,0
FLAVOR_UNIVERSAL,peanutbutterhoney,0
FLAVOR_UNIVERSAL,peanutbutterjelly,0
FLAVOR_UNIVERSAL,pecan,3047
FLAVOR_UNIVERSAL,peel,285
FLAVOR_UNIVERSAL,pepper,8268
FLAVOR_UNIVERSAL,peppercorn,364
FLAVOR_UNIVERSAL,peppered,509
FLAVOR_UNIVERSAL,peppermint,3440
FLAVOR_UNIVERSAL,peppermintbark,0
FLAVOR_UNIVERSAL,peppery,30
FLAVOR_UNIVERSAL,pesto,1082
FLAVOR_UNIVERSAL,phish,8
FLAVOR_UNIVERSAL,phishfood,0
FLAVOR_UNIVERSAL,pina,321
FLAVOR_UNIVERSAL,pinacolada,0
FLAVOR_UNIVERSAL,pineapple,5988
FLAVOR_UNIVERSAL,pinot,28
FLAVOR_UNIVERSAL,pinya,0
FLAVOR_UNIVERSAL,pistachio,710
FLAVOR_UNIVERSAL,plain,2463
FLAVOR_UNIVERSAL,plum,470
FLAVOR_UNIVERSAL,poblano,285
FLAVOR_UNIVERSAL,pomegranate,2137
FLAVOR_UNIVERSAL,ponzu,46
FLAVOR_UNIVERSAL,poppy,403
FLAVOR_UNIVERSAL,poppyseed,151
FLAVOR_UNIVERSAL,premium,8682
FLAVOR_UNIVERSAL,prince,35
FLAVOR_UNIVERSAL,pumpkin,4573
FLAVOR_UNIVERSAL,pumpkinpie,0
FLAVOR_UNIVERSAL,pumpkinseed,3
FLAVOR_UNIVERSAL,pumpkinspice,4
FLAVOR_UNIVERSAL,queen,218
FLAVOR_UNIVERSAL,queso,1346
FLAVOR_UNIVERSAL,quinoa,1822
FLAVOR_UNIVERSAL,rainbow,1101
FLAVOR_UNIVERSAL,rainier,10
FLAVOR_UNIVERSAL,ranch,4006
