fdc_id,title,stripped_flavors,kept_flavors,ingredients_snippet
1943155,"WAFERS, MAPLE",maple,,"Sugar, Enriched Wheat Flour (Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamine, Riboflavin, Folic Acid), Vegetabl"
357396,"HT TRADERS, CARAMEL WAFERS, CARAMEL",caramel,,"Glucose Syrup, Flour (Wheat), Butter (Cream), Sugar, Vegetable Margarine (Palm and Canola Oil, Mono & Diglycerides of Fa"
2626635,"CARAMEL COOKIE SANDWICHES, CARAMEL",caramel,,"Organic Gluten-Free Oat Flour, Coconut Sugar, Organic Blue Agave, Palm Fruit Oil, Organic Flax Meal, Coconut Cream, Pure"
1878997,"LOFTHOUSE, SWIRLED FROSTED SUGAR COOKIES, PEACH VANILLA, PEA",peach,vanilla,"Sugar, Enriched Bleached Wheat Flour (Flour, Niacin, Iron, Thiamine, Riboflavin, Folic Acid), Margarine (Palm Oil, Water"
2652204,"CINNAMON GLUTEN-FREE BUN, CINNAMON",cinnamon,,"Cane Sugar (Powdered Sugar, Invert Sugar, Water, Natural Vanilla Flavor) Tapioca Starch (Sodium Acid Pyrophosphate, Baki"
1418166,"ORANGE LEAF COOKIE, ORANGE",orange,,"Unbleached, Unbromated Wheat Flour (Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamine, Riboflavin, Folic Acid), C"
2049627,"DAELMANS, CARAMEL WAFERS",caramel,,"Glucose Syrup, Flour (Wheat), Butter (Cream), Sugar, Vegetable Margarine (Palm and Canola Oil, Mono & Diglycerides of Fa"
1874310,"AMBERYE, HONEY COOKIES, VANILLA, VANILLA",honey,vanilla,"Wheat Flour, Sugar, Water, Confectionery Palm Fat, Vegetable Oil, Ammonium Carbonate, Calcium Propionate, Baking Soda, V"
2051260,"LOFTHOUSE, SWIRLED FROSTED COOKIES, CHERRY VANILLA, CHERRY V",cherry,vanilla,"Sugar, Enriched Bleached Wheat Flour (Flour, Niacin, Iron, Thiamine, Riboflavin, Folic Acid), Margarine(Palm Oil, Water,"
2143919,"THE ORIGINAL DUTCH CARAMEL WAFERS, THE ORIGINAL DUTCH",caramel,,"Glucose Syrup, Flour (Wheat), Butter (Cream), Sugar, Vegetable Margarine (Palm and Canola Oil, Mono & Diglycerides of Fa"
2144375,"THE ORIGINAL DUTCH MINI CARAMEL WAFERS, THE ORIGINAL DUTCH",caramel,,"Glucose Syrup, Flour (Wheat), Butter (Cream), Sugar, Vegetable Margarine (Palm and Canola Oil, Mono- and Diglycerides of"
2149073,"DUTCH CARAMEL & VANILLA WAFELS EUROPEAN SNACK MINIS, DUTCH C",caramel,vanilla,"Chicory Root Fiber, Wheat Flour, Palm Fruit Oil*, Butter, Cane Sugar, Vegetable Glycerin, Chickpea Flour, Eggs, Sea Salt"
2014795,"CHOCOLATE COVERED RING JELLS, ORANGE, ORANGE",orange,,"Sugar, Corn Syrup, Chocolate, Agar-Agar, Citric Acid, Artificial Flavor, U.S. Certified Color (Includes Fd&C Yellow #6)."
2088513,"COOKIE CRUSH, CHOCOLATE DIPPED MACAROON",chocolate,,"Enriched Bleached Wheat Flour (Wheat Flour, Niacin, Iron, Thiamine, Riboflavin and Folic Acid), Vegetable Shortening (Hy"
2544119,"SWEET POTATO CRUNCH WITH CINNAMON & NUTMEG OADT STREUSEL, SW",cinnamon,nutmeg,"Sweet Potatoes (Sweet Potato, Sodium Metabisulfite), Coconut Milk (Coconut Water [60%], Water), Marshmallows (Corn Syrup"
1958603,"FUDGE COATED SALTED CARAMEL WAFERS, SALTED CARAMEL",caramel,,"Fudge Coating (Sugar, Modified Palm Kernel And/or Palm Kernel Cocoa Processed with Alkali, Sorbitan Tristearate, Soy Lec"
2625856,"WHITE FUDGE DIPPED STRAWBERRY SANDWICH COOKIES, WHITE FUDGE ",strawberry,,"Cookie (Enriched Wheat Flour [Wheat Flour, Niacin, Iron, Thiamine, Riboflavin, Folic Acid], Sugar, Palm Oil and/or Inter"
2626075,"STRAWBERRY DIPPED COOKIES, STRAWBERRY",strawberry,,"Enriched Wheat Flour (Wheat Flour, Niacin, Iron, Thiamine, Riboflavin and Folic Acid), Sugar, Shortening (Non Hydrogenat"
2154447,COCONUT DIPPED,coconut,,"Enriched Flour [Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamine, Riboflavin and Folic Acid], Sugar, Eggs, Soybe"
2313800,"DIPPED STRAWBERRY FLAVORED ICED CAKE COOKIES, DIPPED STRAWBE",strawberry,,"Sugar, Vegetable Oil (Soybean, Palm Oil), Bleached Flour (Wheat Flour, Enriched Wheat Flour, Malted Barley Flour, Niacin"
2630001,"BUTTERY MAPLE GRAB & GO LIEGE-STYLE WAFFLE, BUTTERY MAPLE",maple,buttery,"Wheat Flour, Butter (Cream, Salt), Pearl Sugar, Water, Eggs, Invert Sugar, Sugar, Nonfat Milk, Contains 2% or less of Mo"
2481106,MAPLE FLAVORED PIZZELLE THE AUTHENTIC ITALIAN STYLED WAFFLE ,maple,,"Enriched Unbleached Flour (Wheat Flour, Niacin, Iron, Thiamine, Riboflavin, Folic Acid), Eggs, Sugar, Canola Oil, Natura"
2585994,"BUTTERY MAPLE! SNACKN WAFFLES, BUTTERY MAPLE!",maple,buttery,"Organic Whole Wheat Flour, Enriched Wheat Flour (Wheat Flour, Niacin, Iron, Thiamine, Riboflavin, Folic Acid) Beet Sugar"
2640643,"THE BELGIAN WAFFLE WITH AN AMERICAN TWIST, STRAWBERRY & BLUE",strawberry,blueberry,"Wheat Flour (Niacin, Iron, Thiamine, Riboflavin, Folic Acid), Non-Hydrogenated Margarine (Palm Oil, Soybean Oil, Salt, C"
1882416,"EAT DUTCH WAFFLES, CHEWY CARAMEL COOKIE",caramel,,"Wheat Flour, Brown Rice Syrup, Non-Hydrogenated Margarine (Vegetable Oils), Sugar, Butter, Eggs, Soya Flour, Molasses, C"
2377678,"WAFFLES, BUTTERY MAPLE! WAFFLES",maple,buttery,"Organic Flour (Organic Wheat Flour, Organic Whole Wheat Flour), Beat Sugar, Butter (Cream. Salt), Whole Eggs. Yeast, Non"
2510798,"BUTTERY MAPLE! WAFFLES, BUTTERY MAPLE!",maple,buttery,"Organic Whole Wheat Flour, Enriched Wheat Flour (Wheat Flour, Niacin, Iron, Thiamine, Riboflavin, Folic Acid), Beet Suga"
2554796,"CARAMEL STROOPWAFFLE COOKIE, CARAMEL",caramel,,"Wheat Flour, Wheat Syrup, Sustainable Palm Fruit Oil, Cane Sugar, Butter, Whole Liquid Eggs, Soy Flour, Molasses, Wheat "
911864,"CARAMEL WAFFLES, CARAMEL",caramel,,"Wheat Flour, Glucose Syrup, Sugar, Butter (Milk), Vegetable Oils (Palm Oil, Coconut, Rapeseed), Invert Sugar, Malt Extra"
2294188,"HAWAIIAN MACADAMIA WHITE CHOCOLATE COCONUT COOKIE, HAWAIIAN ",coconut,,"Raw Sugar, Faba Bean Protein, Pea Protein, Water, Wheat Gluten, Evaporated Cane Sugar, White Chocolate Chips (Sugar, Pal"
2486997,"CHOCOLATE KETO MERINGUES, CHOCOLATE",chocolate,,"Isomalt, Egg Whites, Rice Flour, Natural Flavor, 2% or less of: Cream of Tartar, Stevia, Agave Syrup*, Salt."
2487002,"CHOCOLATE DIABETIC MERINGUES, CHOCOLATE",chocolate,,"Isomalt, Egg Whites, Rice Flour, Natural Flavor, 2% or less of: Cream of Tartar, Stevia, Agave Syrup*, Salt"
2395877,"CHOCOLATE FLAVORED MERINGUES, CHOCOLATE",chocolate,,"Maltitol, Egg Whites, Rice Flour, Natural Flavor, 2% or less of: Cream of Tartar, Agave Syrup*, Salt."
2516901,PEPPERIDGE FARM COOKIES LEMON,lemon,,"Made from: Enriched Wheat Flour (Flour, Niacin, Iron, Thiamine, Riboflavin, Folic Acid), Sugar, Vegetable Oils (Palm Ker"
2516905,PEPPERIDGE FARM COOKIES LEMON,lemon,,"Made from: Unbleached Enriched Wheat Flour (Flour, Niacin, Iron, Thiamine [Vitamin B1], Riboflavin [Vitamin B2], Folic A"
