fndds_code,protein_g,fat_g,carbs_g,fiber_g,sugar_g,energy_kcal,vitamin_a_mcg,vitamin_b1_mg,vitamin_b2_mg,vitamin_b3_mg,vitamin_b5_mg,vitamin_b6_mg,vitamin_b9_mcg,vitamin_b12_mcg,vitamin_c_mg,vitamin_d_mcg,vitamin_e_mg,vitamin_k_mcg,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mg,manganese_mg,selenium_mcg,sat_fat_g,trans_fat_g,mufa_g,pufa_g,dha_g,epa_g,ala_g,linoleic_g,cholesterol_mg
58104295,11.41,15.59,16.64,2.0,0.46,252.0,20.0,0.256,0.218,3.01,0.0,0.21,37.0,0.77,0.2,0.0,1.33,8.0,90.0,2.32,30.0,149.0,212.0,347.0,2.34,0.088,0.0,11.2,4.643,0.0,5.985,3.373,0.0,0.001,0.371,2.977,31.0
58104500,12.08,18.8,25.76,1.8,1.96,324.0,10.0,0.277,0.211,3.686,0.0,0.143,52.0,0.72,0.0,0.0,1.79,13.4,110.0,2.55,18.0,179.0,150.0,413.0,2.05,0.076,0.0,18.7,5.134,0.0,6.944,4.87,0.0,0.001,0.541,4.307,27.0
58104520,7.36,13.78,26.81,4.4,1.54,260.0,9.0,0.258,0.147,1.754,0.0,0.068,78.0,0.05,0.2,0.0,1.99,13.2,94.0,2.19,36.0,150.0,222.0,409.0,0.77,0.124,0.0,10.4,3.16,0.0,4.895,4.528,0.0,0.0,0.554,3.964,4.0
58104530,12.5,16.42,25.76,1.8,1.96,304.0,12.0,0.287,0.212,4.303,0.0,0.21,51.0,0.13,0.0,0.0,1.81,14.0,107.0,2.11,20.0,186.0,147.0,414.0,0.79,0.069,0.0,20.0,4.02,0.0,5.821,5.13,0.002,0.002,0.539,4.544,36.0
58104700,13.36,16.21,28.62,2.0,2.41,316.0,85.0,0.292,0.292,2.502,0.0,0.06,58.0,0.45,0.0,0.1,0.18,4.9,348.0,2.05,23.0,291.0,107.0,676.0,1.69,0.063,0.0,20.5,8.454,0.0,3.477,1.699,0.0,0.002,0.2,1.482,36.0
58104710,13.36,16.21,28.62,2.0,2.41,316.0,85.0,0.292,0.292,2.502,0.0,0.06,58.0,0.45,0.0,0.1,0.18,4.9,348.0,2.05,23.0,291.0,107.0,676.0,1.69,0.063,0.0,20.5,8.454,0.0,3.477,1.699,0.0,0.002,0.2,1.482,36.0
58104730,14.07,15.13,27.32,1.9,2.15,305.0,34.0,0.292,0.251,3.671,0.0,0.141,55.0,0.78,0.0,0.0,0.55,7.0,188.0,2.58,21.0,229.0,155.0,600.0,2.29,0.078,0.0,21.0,6.061,0.0,4.64,2.439,0.0,0.001,0.271,2.146,35.0
58104740,14.45,12.99,27.32,1.9,2.15,287.0,36.0,0.301,0.252,4.226,0.0,0.202,54.0,0.25,0.0,0.1,0.57,7.5,185.0,2.18,23.0,235.0,153.0,601.0,1.16,0.071,0.0,22.1,5.058,0.0,3.629,2.674,0.002,0.002,0.269,2.359,43.0
58104750,8.14,11.32,29.18,2.2,3.1,253.0,47.0,0.29,0.227,2.567,0.0,0.094,60.0,0.18,17.8,0.0,0.68,7.7,187.0,2.06,19.0,187.0,128.0,524.0,0.88,0.071,0.0,15.4,4.585,0.0,2.926,2.333,0.0,0.001,0.26,2.065,14.0
58104760,11.1,13.22,28.22,2.1,2.63,279.0,41.0,0.291,0.239,3.117,0.0,0.118,58.0,0.48,8.9,0.0,0.62,7.3,187.0,2.32,20.0,208.0,142.0,592.0,1.58,0.074,0.0,18.2,5.319,0.0,3.781,2.384,0.0,0.001,0.265,2.104,24.0
58104770,11.29,12.14,28.22,2.1,2.63,270.0,42.0,0.295,0.239,3.394,0.0,0.148,57.0,0.21,8.9,0.0,0.62,7.6,186.0,2.12,21.0,211.0,141.0,592.0,1.02,0.071,0.0,18.7,4.818,0.0,3.275,2.502,0.001,0.001,0.264,2.211,29.0
58104780,10.91,13.71,20.06,1.4,1.75,249.0,110.0,0.229,0.336,1.725,0.0,0.058,64.0,0.52,0.0,1.5,1.24,6.7,148.0,2.28,16.0,215.0,126.0,470.0,1.06,0.043,0.0,25.9,4.429,0.0,4.457,3.223,0.0,0.001,0.256,2.791,212.0
58104790,11.43,13.93,19.09,1.3,1.71,249.0,105.0,0.233,0.33,1.987,0.0,0.074,61.0,0.53,0.0,1.5,1.2,6.3,141.0,2.22,17.0,217.0,139.0,504.0,1.12,0.045,0.0,26.1,4.501,0.0,4.619,3.224,0.0,0.001,0.249,2.794,205.0
